habitat,slope
bedrock,-2.764020236749746
bedrock,-3.0110193516242756
bedrock,-2.1896484848617854
bedrock,-2.38640774709535
bedrock,-3.4182014177235938
bedrock,-0.7176633224866857
bedrock,-2.4395489934281898
bedrock,-2.9414821807184617
bedrock,-2.446969832716243
bedrock,-3.0576829669123944
bedrock,-2.2453921189781494
bedrock,-2.0043333594636437
bedrock,-2.5192128030003023
bedrock,-2.0461695860047047
bedrock,-2.5098803696568583
bedrock,-2.3276902223658973
bedrock,-2.4418047152502105
bedrock,-2.0544895120344404
bedrock,-2.531229761539329
bedrock,-2.4067430061213764
bedrock,-2.2315887195361293
bedrock,-0.9624992635982544
bedrock,-1.7075448225048295
bedrock,-2.730466542379222
bedrock,-2.6631196128947052
bedrock,-3.391113156545506
bedrock,-2.648842941409335
bedrock,-2.648156039417091
bedrock,-2.251271894573282
bedrock,-0.19004534592682215
bedrock,-2.2648635906376877
bedrock,-2.528820138741333
bedrock,-2.1326395682754242
bedrock,-2.5953747815681116
bedrock,-2.559027087276915
bedrock,-2.198850469832847
bedrock,-2.5380666614450162
bedrock,-2.306876305106466
bedrock,-2.55758823042247
bedrock,-0.26325334191387445
bedrock,-1.825066220042006
bedrock,-2.1759339047280295
bedrock,-2.744696525880516
bedrock,-2.2456067025969713
bedrock,-2.4331858998849474
bedrock,-3.02382115771322
bedrock,-2.013706595455512
bedrock,-2.0620874828856133
bedrock,-0.23185578569936116
bedrock,-2.5925455687442653
bedrock,-2.7225218651831136
bedrock,-2.9436233365641717
bedrock,-2.5635230404834712
bedrock,-2.434312804269653
bedrock,-2.2032234048836137
bedrock,-2.456431370452919
bedrock,-2.1565088422902328
bedrock,-1.2666283129979232
bedrock,-1.1512796930511775
bedrock,-0.7509608345884088
bedrock,-0.5523059959200444
bedrock,-2.101510066931618
bedrock,-0.5934802563661586
bedrock,-2.503391398109008
bedrock,-0.5525351378613709
bedrock,-1.4271691002909828
bedrock,-2.5145935719357158
bedrock,-2.817851482644167
bedrock,-2.715973540564715
bedrock,-2.250642247522349
bedrock,-2.5481401852881818
bedrock,-2.9297319662735974
bedrock,-2.317428561120942
bedrock,-0.6262296486944321
bedrock,-2.4985502784100424
bedrock,-0.1883171627248879
bedrock,-2.9529205113540336
bedrock,-2.488634809556839
bedrock,-0.2672200807747837
bedrock,-2.5038941405937885
bedrock,-1.3516711216555974
bedrock,-2.0001645509770554
bedrock,-1.0785370117568633
bedrock,-2.9232379226691196
bedrock,-2.6378532407993958
bedrock,-2.1183780622585964
bedrock,-1.4087031251771573
bedrock,-0.7247218000988687
bedrock,-2.3558813702113737
bedrock,-2.1358011735907403
bedrock,-3.2780426802890625
bedrock,-3.676659245532223
bedrock,-2.2602474091369893
bedrock,-1.962749278057642
bedrock,-2.61815068209655
bedrock,-2.9216038823715573
bedrock,-3.062662731516469
bedrock,-2.8651372236573014
bedrock,-3.0414083886875716
bedrock,-2.456540328752018
bedrock,-2.5785284004282176
bedrock,-2.5918636161047606
bedrock,-2.6433153920185233
bedrock,-2.5959154076281363
bedrock,-2.194979846557798
bedrock,-2.2212433376614396
bedrock,-0.6900894699886223
bedrock,-2.676319664622586
bedrock,-2.717340355634647
bedrock,-1.7215983815810918
bedrock,-2.677544598107129
bedrock,-2.723611580490839
bedrock,-1.9424768434702104
bedrock,-1.830073294514688
bedrock,-2.0718703081817593
bedrock,-2.903979858654752
bedrock,-3.11919027817057
bedrock,-2.734394128900388
bedrock,-2.2948960619452365
bedrock,-2.221590253693553
bedrock,-1.1071069049719897
bedrock,-0.5945090804954443
bedrock,-1.8680493960462026
bedrock,-2.696490667395357
bedrock,-1.3728463779549829
bedrock,-2.2777014151776904
bedrock,-2.6441054427787263
bedrock,-2.390928130765801
bedrock,-2.804878081084808
bedrock,-2.8473431346424825
bedrock,-2.5154188601882357
bedrock,-2.5361352564814554
bedrock,-1.5670679806685999
bedrock,-2.3700646666843865
bedrock,-2.264967911315939
bedrock,-2.2804691429879016
bedrock,-2.1377158886308423
bedrock,-2.670519958716636
bedrock,-2.354909244102523
bedrock,-0.8995201521298113
bedrock,-2.596418187447955
bedrock,-2.100848262644232
bedrock,-2.2153987976145206
bedrock,-2.699383073595949
bedrock,-3.4727548609506704
bedrock,-3.61855402759078
bedrock,-1.5785373562632612
bedrock,-1.5910484749730378
bedrock,-2.767394817355078
bedrock,-3.263429612306987
bedrock,-2.3597714964319954
bedrock,-0.6188265249111018
bedrock,-1.8386622915056294
bedrock,-2.5720591482082193
bedrock,-2.4896275207874523
bedrock,-2.49856613134177
bedrock,-2.322575162326917
bedrock,-0.4665479983645596
bedrock,-0.23726573856824087
bedrock,-1.6201345714132027
bedrock,-2.2764163607096632
bedrock,-2.1829758031325044
bedrock,-2.770261647533715
bedrock,-2.222433812193025
bedrock,-2.4915046045385942
bedrock,-2.130728867473739
bedrock,-3.3177717391280357
bedrock,-2.570600956280448
bedrock,-2.51824867011767
bedrock,-2.3128865013300635
bedrock,-3.2098232950799
bedrock,-3.276157808795767
bedrock,-0.519094308333115
bedrock,-2.4338508265095
bedrock,-3.204492061099883
bedrock,-2.785507016797571
bedrock,-1.433974627249741
bedrock,-1.7527482058879111
bedrock,-1.9210838925481237
bedrock,-3.5242514802164946
bedrock,-2.1427639587757623
bedrock,-2.7252143106429134
bedrock,-2.1775508071200735
bedrock,-2.0797603488812437
bedrock,-3.002507100299066
bedrock,-2.179847542240893
bedrock,-2.0820433745916245
bedrock,-2.582786767334283
bedrock,-1.6996796735717936
bedrock,-2.757441516534805
bedrock,-3.552396800461438
bedrock,-2.1731030957564927
bedrock,-1.1089241728829435
bedrock,-2.649384611278997
bedrock,-0.7172309541771741
bedrock,-2.577010241404736
bedrock,-2.5047894017983854
bedrock,-2.391079480927645
bedrock,-2.738049832442787
bedrock,-2.584242686813341
bedrock,-1.9536592771582264
bedrock,-2.4608954453148333
bedrock,-2.368156541214721
bedrock,-2.3736077014685293
bedrock,-2.602898358059002
bedrock,-2.76817768759383
bedrock,-2.7295007665409123
bedrock,-2.3197728998261224
bedrock,-2.194101771733245
bedrock,-2.0658753219608723
bedrock,-2.1343660323618123
bedrock,-2.711401124534054
bedrock,-2.477408479167531
bedrock,-2.642972423110818
bedrock,-2.860177966638842
bedrock,-2.0588772502850707
bedrock,-0.5311334494471346
bedrock,-0.6237644476196045
bedrock,-2.1564496049361925
bedrock,-2.6910237980229805
bedrock,-1.5127343245294813
bedrock,-0.9014828823688908
bedrock,-0.9836224311835313
bedrock,-1.2187895899790449
bedrock,-1.9899200348541615
bedrock,-2.0970063900978766
bedrock,-2.720504606109514
bedrock,-2.616541980866139
bedrock,-1.6449708863760475
bedrock,-0.20960228928130714
bedrock,-2.1777350220026683
bedrock,-1.986586809305348
sand,-1.441784846667924
sand,-2.1417934329938797
sand,-1.3970382063270825
sand,-0.9574577120688296
sand,-1.7830489628936967
sand,-0.8006786503091234
sand,-0.891300716421477
sand,-1.6230936165934475
sand,-1.8523107286964064
sand,-2.4781655033778947
sand,-2.1499927010472706
sand,-1.2725556318364175
sand,-2.334267404113443
sand,-0.6769003089749189
sand,-1.6956526341330842
sand,-2.049222720219558
sand,-0.5262652006747633
sand,-1.7495684151160191
sand,-0.1297693320470076
sand,-1.7443737206991996
sand,-2.6192351517476746
sand,-3.464121223014075
sand,-2.573707640228751
sand,-0.4077041362170599
sand,-2.3550833502629596
sand,-1.1519091984222785
sand,-1.8723928988224936
sand,-1.4098971837915426
sand,-2.696273298016369
sand,-2.4313859187576083
sand,-1.5306224141869893
sand,-0.81394215233385
sand,-1.472817471755052
sand,-2.2563818422353483
sand,-1.3326588923855638
sand,-1.7403864305688586
sand,-1.87169121710794
sand,-2.2323601891288076
sand,-1.5659041245370997
sand,-1.950897202546922
sand,-1.4860683672101822
sand,-2.490498618587218
sand,-2.2118777145203588
sand,-1.4805912900157925
sand,-0.6191867628128117
sand,-1.4711514389974294
sand,-2.840319921314544
sand,-2.8610157675785284
sand,-0.2534919477852487
sand,-2.301981872712145
sand,-3.5009236918826376
sand,-2.7837143828227906
sand,-0.7349503025959567
sand,-2.0901777712498624
sand,-2.203547259243555
sand,-1.4237410235655723
sand,-1.421822008712059
sand,-1.2011700061235133
sand,-0.5483016292443246
sand,-1.8279315057787193
sand,-1.9502052678851067
sand,-0.7610566294119003
sand,-0.7696934918865135
sand,-2.296959915340086
sand,-1.9111897641127806
sand,-2.0602647061325396
sand,-3.088742465764326
sand,-2.794872434604953
sand,-2.092537686316519
sand,-0.13375053848540314
sand,-0.3741208913066054
sand,-1.6972616268713288
sand,-1.1166565599814764
sand,-0.8198657499498063
sand,-2.2421436732184445
sand,-0.2304213233819425
sand,-2.8893308210647772
sand,-1.5909033124484857
sand,-0.13918446084433317
sand,-1.753432115189697
sand,-2.73311231851016
sand,-2.651357622478533
sand,-2.7517242586248076
sand,-2.8272462290910387
sand,-3.008179851156524
sand,-2.2510090893264847
sand,-2.8590947100117052
sand,-1.8476332263156874
sand,-1.6298452196582036
sand,-2.8026962416290697
sand,-0.15335013957833307
sand,-2.4566947326164295
sand,-0.9372012953518283
sand,-0.6335286992248608
sand,-2.4142758878379236
sand,-2.602797438932818
sand,-1.4498736128179994
sand,-0.9590670413043428
sand,-1.9014735674826106
sand,-3.5026302994874134
sand,-2.219637862346788
sand,-3.4470505485122254
sand,-1.1458981698923398
sand,-2.2058227976487643
sand,-1.680147971103128
sand,-2.142048765471674
sand,-2.3445615051924715
sand,-1.5020724125758083
sand,-1.4497840959181594
sand,-1.6553172365615965
sand,-3.4188477003791093
sand,-3.725523692205005
sand,-2.9530736738116934
sand,-2.911871098146654
sand,-1.8168157249850252
sand,-1.7096176631366258
sand,-2.961722867960967
sand,-0.5836625197739767
sand,-1.493560521513642
sand,-2.438315881791623
sand,-2.649391651549308
sand,-2.1270080108050196
sand,-2.2637596043296733
sand,-2.252473566344729
sand,-2.211756665221505
sand,-1.1873134941952996
sand,-1.23477561548317
sand,-0.4980005622200425
sand,-2.9839563699060254
sand,-2.5560243460701924
sand,-2.7765838815831345
sand,-4.694860080408328
sand,-2.6658096361708927
sand,-2.599558486122578
sand,-1.0224263265072027
sand,-2.154475973933623
sand,-2.2749236657223237
sand,-0.46595168596318787
sand,-1.2834776120539584
sand,-2.2080767147498155
sand,-2.0340687298878595
sand,-1.9130558777081876
sand,-0.9826808728864066
sand,-2.3580213595410657
sand,-0.9669615707468865
sand,-0.07324789661043173
sand,-1.4492922389087108
sand,-1.9575306744212404
sand,-0.33945272200335336
sand,-2.610168560534467
sand,-1.6363461246733697
sand,-2.2232664613300197
sand,-1.8409781236758154
sand,-0.42020933338813504
sand,-1.3644423717421692
sand,-2.63412982052059
sand,-2.192454496370874
sand,-2.1953325872188816
sand,-0.22950540181759382
sand,-0.15803392794226856
sand,-0.24062901491401076
sand,-0.19051577928801264
sand,-0.2121803697021768
sand,-0.8020513300162703
sand,-3.196968013072043
sand,-2.913230925346021
sand,-1.8269038029313955
sand,-1.8077011603460391
sand,-1.1605708816605296
sand,-0.8889922719237233
sand,-2.2128102293767573
sand,-1.5568798297594262
sand,-1.4426252406951554
sand,-1.0756342988835355
sand,-1.9317852188353606
sand,-1.955471507797342
sand,-3.1318440220457076
sand,-3.1734772484561016
sand,-1.4134916204534258
sand,-1.394736968453995
sand,-2.4548930842648202
sand,-1.8560453788660092
sand,-1.9611131208890498
sand,-1.8733335718300987
sand,-2.7032517928414426
sand,-1.786727740854929
sand,-0.057557583182390314
sand,-0.035186815821705145
sand,-2.565306434485352
sand,-3.2941145576233133
sand,-1.7421614557848615
sand,-1.9420214278203658
sand,-0.046958965792726806
sand,-2.704611635883555
sand,-2.5912572458304117
sand,-1.8355941739536337
sand,-0.9250897971634171
sand,-2.516034991543058
sand,-1.237508378702129
sand,-1.3638996314864797
sand,-1.8175571554846806
sand,-0.7964858773075909
sand,-1.634282070737378
sand,-2.1058479029361483
sand,-2.356095349702434
sand,-1.085244004947839
sand,-0.8323087133140253
sand,-0.5737541259828461
sand,-2.4531878220081045
