species,animal,habitat,sex,devs,hab_slope,site
barrenense,Etheostoma_barrenense_A,bedrock,M,5.171492893,[-2.3454573],BARR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.722149259,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.974038756,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.973373124,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,6.090294745,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.546013776,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.60991243,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.817776461,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,6.096627487,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.730813599,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.961183467,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.548852232,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,6.069257015,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.5996697,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.719360945,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,6.094171833,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,6.31195183,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.715820494,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.909357212,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,5.809692561,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,5.551893593,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,6.403713058,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,4.985185135,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,6.291231831,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,5.853133389,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,5.214804129,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,6.281229875,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,5.92821686,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,6.467582443,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,6.30163401,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,5.619565752,[-2.3454573],EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,5.213027091,[-2.3454573],LICK
